,Descriptor,Resolved Type,Duration Type,Cluster Labels,Segment
25876,Noise,no_violation,"(63.33, 2677.65]",9,10
25877,Noise,no_violation,"(63.33, 2677.65]",9,10
25878,Noise,no_violation,"(0.069, 26.55]",3,4
25879,Noise,no_violation,"(26.55, 63.33]",6,7
25880,Noise,info_needed,"(63.33, 2677.65]",9,10
25881,Noise,no_violation,"(26.55, 63.33]",6,7
25882,Noise,no_violation,"(63.33, 2677.65]",9,10
25883,Noise,fixed,"(0.069, 26.55]",7,8
25884,Noise,fixed,"(26.55, 63.33]",4,5
25885,Noise,no_violation,"(26.55, 63.33]",6,7
25886,Noise,no_violation,"(63.33, 2677.65]",9,10
25887,Noise,no_violation,"(0.069, 26.55]",3,4
25888,Noise,fixed,"(26.55, 63.33]",4,5
25889,Noise,no_violation,"(63.33, 2677.65]",9,10
25890,Noise,no_violation,"(63.33, 2677.65]",9,10
25891,Noise,no_violation,"(63.33, 2677.65]",9,10
25892,Noise,fixed,"(63.33, 2677.65]",4,5
25893,Noise,no_violation,"(0.069, 26.55]",3,4
25894,Noise,no_violation,"(63.33, 2677.65]",9,10
25895,Noise,no_violation,"(26.55, 63.33]",6,7
25896,Noise,no_violation,"(26.55, 63.33]",6,7
25897,Noise,fixed,"(63.33, 2677.65]",4,5
25898,Noise,no_violation,"(63.33, 2677.65]",9,10
25899,Noise,no_violation,"(26.55, 63.33]",6,7
25900,Noise,no_violation,"(26.55, 63.33]",6,7
25901,Noise,no_violation,"(63.33, 2677.65]",9,10
25902,Noise,fixed,"(26.55, 63.33]",4,5
25903,Noise,fixed,"(63.33, 2677.65]",4,5
25904,Noise,no_violation,"(26.55, 63.33]",6,7
25905,Noise,no_violation,"(0.069, 26.55]",3,4
25906,Noise,info_needed,"(0.069, 26.55]",3,4
25907,Safety,fixed,"(26.55, 63.33]",0,1
25908,Noise,no_violation,"(63.33, 2677.65]",9,10
25909,Noise,fixed,"(63.33, 2677.65]",4,5
25910,Noise,fixed,"(0.069, 26.55]",7,8
25911,Noise,fixed,"(63.33, 2677.65]",4,5
25912,Noise,fixed,"(26.55, 63.33]",4,5
25913,Noise,no_violation,"(26.55, 63.33]",6,7
25914,Noise,fixed,"(63.33, 2677.65]",4,5
25915,Noise,fixed,"(26.55, 63.33]",4,5
25916,Noise,fixed,"(26.55, 63.33]",4,5
25917,Noise,fixed,"(26.55, 63.33]",4,5
25918,Noise,no_violation,"(26.55, 63.33]",6,7
25919,Noise,fixed,"(0.069, 26.55]",7,8
25920,Noise,no_violation,"(63.33, 2677.65]",9,10
25921,Noise,no_violation,"(26.55, 63.33]",6,7
25922,Noise,no_violation,"(63.33, 2677.65]",9,10
25923,Noise,fixed,"(26.55, 63.33]",4,5
25924,Noise,fixed,"(63.33, 2677.65]",4,5
25925,Noise,no_violation,"(63.33, 2677.65]",9,10
25926,Noise,no_violation,"(63.33, 2677.65]",9,10
25927,Noise,no_violation,"(63.33, 2677.65]",9,10
25933,Noise,no_violation,"(63.33, 2677.65]",9,10
25934,Noise,no_violation,"(0.069, 26.55]",3,4
25935,Noise,no_violation,"(63.33, 2677.65]",9,10
25936,Noise,no_violation,"(63.33, 2677.65]",9,10
25937,Noise,no_violation,"(26.55, 63.33]",6,7
25938,Noise,no_violation,"(26.55, 63.33]",6,7
25939,Noise,fixed,"(63.33, 2677.65]",4,5
25940,Noise,no_violation,"(0.069, 26.55]",3,4
25941,Noise,no_violation,"(26.55, 63.33]",6,7
25942,Noise,no_violation,"(26.55, 63.33]",6,7
25943,Noise,fixed,"(26.55, 63.33]",4,5
25944,Noise,fixed,"(26.55, 63.33]",4,5
25945,Noise,fixed,"(26.55, 63.33]",4,5
25946,Noise,info_needed,"(0.069, 26.55]",3,4
25947,Noise,fixed,"(0.069, 26.55]",7,8
25948,Noise,no_violation,"(26.55, 63.33]",6,7
25949,Noise,info_needed,"(0.069, 26.55]",3,4
25950,Noise,fixed,"(26.55, 63.33]",4,5
25951,Noise,fixed,"(0.069, 26.55]",7,8
25952,Noise,fixed,"(0.069, 26.55]",7,8
25953,Noise,no_violation,"(0.069, 26.55]",3,4
25954,Noise,no_violation,"(26.55, 63.33]",6,7
25955,Noise,fixed,"(0.069, 26.55]",7,8
25956,Noise,no_violation,"(0.069, 26.55]",3,4
25958,Noise,fixed,"(0.069, 26.55]",7,8
25959,Noise,no_violation,"(26.55, 63.33]",6,7
25960,Traffic,no_violation,"(63.33, 2677.65]",1,2
25961,Noise,no_violation,"(63.33, 2677.65]",9,10
25962,Noise,fixed,"(0.069, 26.55]",7,8
25963,Noise,no_violation,"(26.55, 63.33]",6,7
25964,Noise,fixed,"(0.069, 26.55]",7,8
25965,Noise,info_needed,"(63.33, 2677.65]",9,10
25966,Noise,fixed,"(0.069, 26.55]",7,8
25967,Noise,fixed,"(0.069, 26.55]",7,8
25968,Traffic,no_violation,"(63.33, 2677.65]",1,2
25969,Noise,no_violation,"(63.33, 2677.65]",9,10
25970,Noise,info_needed,"(0.069, 26.55]",3,4
25971,Safety,fixed,"(26.55, 63.33]",0,1
25972,Noise,no_violation,"(0.069, 26.55]",3,4
25973,Noise,fixed,"(63.33, 2677.65]",4,5
25974,Traffic,fixed,"(0.069, 26.55]",7,8
25975,Noise,no_violation,"(26.55, 63.33]",6,7
25976,Noise,no_violation,"(63.33, 2677.65]",9,10
25977,Traffic,no_violation,"(63.33, 2677.65]",1,2
25978,Noise,no_violation,"(26.55, 63.33]",6,7
25979,Traffic,fixed,"(63.33, 2677.65]",8,9
25980,Noise,fixed,"(26.55, 63.33]",4,5
25981,Noise,no_violation,"(26.55, 63.33]",6,7
25982,Noise,info_needed,"(0.069, 26.55]",3,4
25983,Noise,no_violation,"(63.33, 2677.65]",9,10
25984,Noise,fixed,"(63.33, 2677.65]",4,5
25985,Noise,fixed,"(63.33, 2677.65]",4,5
25986,Noise,no_violation,"(63.33, 2677.65]",9,10
25987,Noise,no_violation,"(63.33, 2677.65]",9,10
25988,Noise,fixed,"(63.33, 2677.65]",4,5
25989,Noise,no_violation,"(26.55, 63.33]",6,7
25990,Noise,no_violation,"(63.33, 2677.65]",9,10
25991,Noise,fixed,"(63.33, 2677.65]",4,5
25992,Noise,fixed,"(63.33, 2677.65]",4,5
25993,Noise,no_violation,"(26.55, 63.33]",6,7
25994,Personal Issue,no_violation,"(26.55, 63.33]",1,2
25995,Noise,fixed,"(26.55, 63.33]",4,5
25996,Noise,fixed,"(0.069, 26.55]",7,8
25997,Noise,fixed,"(0.069, 26.55]",7,8
25998,Noise,fixed,"(26.55, 63.33]",4,5
25999,Noise,info_needed,"(0.069, 26.55]",3,4
26000,Noise,fixed,"(26.55, 63.33]",4,5
26001,Traffic,fixed,"(63.33, 2677.65]",8,9
26002,Noise,fixed,"(63.33, 2677.65]",4,5
26003,Noise,fixed,"(26.55, 63.33]",4,5
26004,Noise,fixed,"(26.55, 63.33]",4,5
26005,Noise,fixed,"(63.33, 2677.65]",4,5
26006,Traffic,no_violation,"(63.33, 2677.65]",1,2
26007,Noise,no_violation,"(63.33, 2677.65]",9,10
26008,Noise,no_violation,"(26.55, 63.33]",6,7
26009,Noise,no_violation,"(0.069, 26.55]",3,4
26010,Noise,fixed,"(63.33, 2677.65]",4,5
26011,Traffic,fixed,"(0.069, 26.55]",7,8
26012,Noise,fixed,"(63.33, 2677.65]",4,5
26013,Safety,fixed,"(0.069, 26.55]",0,1
26014,Noise,fixed,"(26.55, 63.33]",4,5
26015,Noise,fixed,"(26.55, 63.33]",4,5
26016,Noise,fixed,"(0.069, 26.55]",7,8
26017,Noise,info_needed,"(0.069, 26.55]",3,4
26018,Noise,fixed,"(26.55, 63.33]",4,5
26019,Noise,no_violation,"(26.55, 63.33]",6,7
26020,Noise,fixed,"(63.33, 2677.65]",4,5
26021,Noise,fixed,"(63.33, 2677.65]",4,5
26022,Noise,no_violation,"(63.33, 2677.65]",9,10
26023,Noise,no_violation,"(26.55, 63.33]",6,7
26024,Noise,fixed,"(63.33, 2677.65]",4,5
26025,Noise,fixed,"(26.55, 63.33]",4,5
26026,Noise,fixed,"(63.33, 2677.65]",4,5
26027,Noise,fixed,"(63.33, 2677.65]",4,5
26028,Noise,fixed,"(26.55, 63.33]",4,5
26029,Traffic,no_violation,"(26.55, 63.33]",1,2
26030,Noise,fixed,"(63.33, 2677.65]",4,5
26031,Noise,fixed,"(26.55, 63.33]",4,5
26032,Traffic,info_needed,"(63.33, 2677.65]",8,9
26033,Noise,fixed,"(63.33, 2677.65]",4,5
26034,Noise,no_violation,"(63.33, 2677.65]",9,10
26035,Noise,fixed,"(26.55, 63.33]",4,5
26036,Noise,no_violation,"(0.069, 26.55]",3,4
26037,Noise,fixed,"(0.069, 26.55]",7,8
26038,Noise,fixed,"(0.069, 26.55]",7,8
26039,Other,fixed,"(0.069, 26.55]",7,8
26040,Noise,no_violation,"(63.33, 2677.65]",9,10
26041,Noise,fixed,"(0.069, 26.55]",7,8
26042,Noise,info_needed,"(0.069, 26.55]",3,4
26044,Noise,fixed,"(0.069, 26.55]",7,8
26045,Noise,fixed,"(26.55, 63.33]",4,5
26047,Noise,no_violation,"(63.33, 2677.65]",9,10
26048,Noise,no_violation,"(0.069, 26.55]",3,4
26049,Noise,no_violation,"(63.33, 2677.65]",9,10
26050,Noise,no_violation,"(63.33, 2677.65]",9,10
26051,Noise,no_violation,"(63.33, 2677.65]",9,10
26052,Noise,no_violation,"(63.33, 2677.65]",9,10
26053,Noise,info_needed,"(26.55, 63.33]",4,5
26054,Noise,info_needed,"(63.33, 2677.65]",9,10
26055,Noise,fixed,"(26.55, 63.33]",4,5
26056,Noise,fixed,"(63.33, 2677.65]",4,5
26057,Noise,fixed,"(63.33, 2677.65]",4,5
26058,Noise,no_violation,"(63.33, 2677.65]",9,10
26059,Noise,fixed,"(63.33, 2677.65]",4,5
26060,Noise,fixed,"(63.33, 2677.65]",4,5
26061,Noise,fixed,"(26.55, 63.33]",4,5
26062,Noise,fixed,"(26.55, 63.33]",4,5
26063,Noise,no_violation,"(26.55, 63.33]",6,7
26064,Noise,no_violation,"(0.069, 26.55]",3,4
26065,Safety,no_violation,"(63.33, 2677.65]",9,10
26066,Traffic,no_violation,"(63.33, 2677.65]",1,2
26067,Noise,fixed,"(63.33, 2677.65]",4,5
26068,Noise,no_violation,"(63.33, 2677.65]",9,10
26069,Noise,fixed,"(0.069, 26.55]",7,8
26070,Noise,info_needed,"(63.33, 2677.65]",9,10
26071,Noise,info_needed,"(0.069, 26.55]",3,4
26072,Noise,no_violation,"(63.33, 2677.65]",9,10
26073,Traffic,fixed,"(0.069, 26.55]",7,8
26074,Noise,no_violation,"(63.33, 2677.65]",9,10
26075,Noise,no_violation,"(63.33, 2677.65]",9,10
26076,Noise,fixed,"(63.33, 2677.65]",4,5
26077,Noise,fixed,"(0.069, 26.55]",7,8
26078,Noise,fixed,"(26.55, 63.33]",4,5
26079,Noise,no_violation,"(63.33, 2677.65]",9,10
26080,Noise,info_needed,"(63.33, 2677.65]",9,10
26081,Noise,info_needed,"(63.33, 2677.65]",9,10
26082,Noise,no_violation,"(63.33, 2677.65]",9,10
26083,Noise,info_needed,"(63.33, 2677.65]",9,10
26084,Noise,info_needed,"(63.33, 2677.65]",9,10
26085,Noise,fixed,"(26.55, 63.33]",4,5
26086,Noise,no_violation,"(63.33, 2677.65]",9,10
26087,Noise,no_violation,"(26.55, 63.33]",6,7
26088,Noise,info_needed,"(63.33, 2677.65]",9,10
26089,Noise,no_violation,"(26.55, 63.33]",6,7
26090,Noise,no_violation,"(63.33, 2677.65]",9,10
26091,Noise,fixed,"(0.069, 26.55]",7,8
26092,Noise,fixed,"(63.33, 2677.65]",4,5
26093,Traffic,fixed,"(63.33, 2677.65]",8,9
26094,Noise,fixed,"(0.069, 26.55]",7,8
26095,Noise,fixed,"(26.55, 63.33]",4,5
26096,Noise,no_violation,"(63.33, 2677.65]",9,10
26097,Noise,no_violation,"(63.33, 2677.65]",9,10
26098,Noise,info_needed,"(26.55, 63.33]",4,5
26099,Traffic,fixed,"(0.069, 26.55]",7,8
26100,Noise,no_violation,"(26.55, 63.33]",6,7
26101,Noise,fixed,"(63.33, 2677.65]",4,5
26102,Noise,info_needed,"(63.33, 2677.65]",9,10
26103,Noise,fixed,"(0.069, 26.55]",7,8
26104,Traffic,no_violation,"(0.069, 26.55]",1,2
26105,Noise,no_violation,"(63.33, 2677.65]",9,10
26106,Noise,no_violation,"(63.33, 2677.65]",9,10
26107,Noise,no_violation,"(63.33, 2677.65]",9,10
26108,Safety,fixed,"(63.33, 2677.65]",0,1
26109,Noise,no_violation,"(63.33, 2677.65]",9,10
26110,Noise,no_violation,"(63.33, 2677.65]",9,10
26111,Noise,fixed,"(0.069, 26.55]",7,8
26112,Noise,no_violation,"(63.33, 2677.65]",9,10
26113,Noise,no_violation,"(0.069, 26.55]",3,4
26114,Traffic,no_violation,"(26.55, 63.33]",1,2
26115,Noise,fixed,"(63.33, 2677.65]",4,5
26116,Noise,fixed,"(26.55, 63.33]",4,5
26117,Noise,fixed,"(26.55, 63.33]",4,5
26118,Noise,fixed,"(26.55, 63.33]",4,5
26119,Noise,fixed,"(0.069, 26.55]",7,8
26120,Noise,fixed,"(0.069, 26.55]",7,8
26121,Noise,fixed,"(26.55, 63.33]",4,5
26122,Noise,fixed,"(0.069, 26.55]",7,8
26123,Noise,no_violation,"(26.55, 63.33]",6,7
26124,Noise,no_violation,"(0.069, 26.55]",3,4
26125,Noise,no_violation,"(26.55, 63.33]",6,7
26126,Noise,fixed,"(0.069, 26.55]",7,8
26127,Traffic,info_needed,"(63.33, 2677.65]",8,9
26128,Noise,no_violation,"(0.069, 26.55]",3,4
26129,Noise,fixed,"(63.33, 2677.65]",4,5
26130,Noise,no_violation,"(0.069, 26.55]",3,4
26131,Noise,fixed,"(26.55, 63.33]",4,5
26132,Noise,no_violation,"(63.33, 2677.65]",9,10
26133,Noise,no_violation,"(0.069, 26.55]",3,4
26134,Noise,fixed,"(0.069, 26.55]",7,8
26135,Noise,fixed,"(0.069, 26.55]",7,8
26136,Noise,no_violation,"(26.55, 63.33]",6,7
26137,Noise,no_violation,"(26.55, 63.33]",6,7
26139,Noise,no_violation,"(26.55, 63.33]",6,7
26140,Noise,fixed,"(26.55, 63.33]",4,5
26141,Noise,fixed,"(0.069, 26.55]",7,8
26142,Noise,info_needed,"(26.55, 63.33]",4,5
26143,Noise,no_violation,"(26.55, 63.33]",6,7
26144,Noise,no_violation,"(26.55, 63.33]",6,7
26145,Noise,no_violation,"(0.069, 26.55]",3,4
26146,Noise,no_violation,"(26.55, 63.33]",6,7
26147,Noise,no_violation,"(26.55, 63.33]",6,7
26148,Noise,no_violation,"(26.55, 63.33]",6,7
26149,Noise,no_violation,"(63.33, 2677.65]",9,10
26150,Noise,no_violation,"(26.55, 63.33]",6,7
26151,Traffic,no_violation,"(26.55, 63.33]",1,2
26152,Noise,no_violation,"(63.33, 2677.65]",9,10
26153,Noise,no_violation,"(0.069, 26.55]",3,4
26154,Noise,no_violation,"(26.55, 63.33]",6,7
26155,Noise,no_violation,"(63.33, 2677.65]",9,10
26156,Noise,fixed,"(0.069, 26.55]",7,8
26157,Noise,fixed,"(26.55, 63.33]",4,5
26158,Energy,no_violation,"(26.55, 63.33]",1,2
26159,Noise,fixed,"(26.55, 63.33]",4,5
26160,Noise,fixed,"(0.069, 26.55]",7,8
26161,Noise,fixed,"(0.069, 26.55]",7,8
26162,Noise,fixed,"(26.55, 63.33]",4,5
26163,Noise,no_violation,"(26.55, 63.33]",6,7
26164,Noise,info_needed,"(63.33, 2677.65]",9,10
26165,Noise,fixed,"(0.069, 26.55]",7,8
26166,Noise,info_needed,"(0.069, 26.55]",3,4
26167,Noise,no_violation,"(0.069, 26.55]",3,4
26168,Noise,no_violation,"(63.33, 2677.65]",9,10
26169,Noise,no_violation,"(63.33, 2677.65]",9,10
26170,Noise,no_violation,"(63.33, 2677.65]",9,10
26171,Noise,no_violation,"(63.33, 2677.65]",9,10
26172,Noise,no_violation,"(63.33, 2677.65]",9,10
26173,Noise,no_violation,"(63.33, 2677.65]",9,10
26174,Noise,no_violation,"(63.33, 2677.65]",9,10
26175,Noise,no_violation,"(63.33, 2677.65]",9,10
26176,Noise,no_violation,"(63.33, 2677.65]",9,10
26177,Noise,no_violation,"(63.33, 2677.65]",9,10
26178,Noise,no_violation,"(63.33, 2677.65]",9,10
26179,Noise,no_violation,"(63.33, 2677.65]",9,10
26180,Noise,no_violation,"(63.33, 2677.65]",9,10
26181,Noise,no_violation,"(26.55, 63.33]",6,7
26182,Noise,fixed,"(26.55, 63.33]",4,5
26183,Noise,no_violation,"(26.55, 63.33]",6,7
26184,Noise,fixed,"(26.55, 63.33]",4,5
26185,Noise,no_violation,"(63.33, 2677.65]",9,10
26186,Noise,no_violation,"(26.55, 63.33]",6,7
26187,Noise,no_violation,"(63.33, 2677.65]",9,10
26188,Noise,info_needed,"(26.55, 63.33]",4,5
26189,Noise,no_violation,"(26.55, 63.33]",6,7
26190,Noise,no_violation,"(63.33, 2677.65]",9,10
26191,Noise,no_violation,"(26.55, 63.33]",6,7
26192,Noise,no_violation,"(63.33, 2677.65]",9,10
26193,Noise,no_violation,"(0.069, 26.55]",3,4
26194,Noise,no_violation,"(26.55, 63.33]",6,7
26195,Noise,no_violation,"(63.33, 2677.65]",9,10
26196,Noise,no_violation,"(26.55, 63.33]",6,7
26197,Noise,fixed,"(63.33, 2677.65]",4,5
26198,Noise,no_violation,"(63.33, 2677.65]",9,10
26199,Noise,no_violation,"(63.33, 2677.65]",9,10
26200,Traffic,no_violation,"(63.33, 2677.65]",1,2
26201,Noise,no_violation,"(26.55, 63.33]",6,7
26202,Noise,no_violation,"(63.33, 2677.65]",9,10
26203,Noise,fixed,"(63.33, 2677.65]",4,5
26204,Noise,no_violation,"(63.33, 2677.65]",9,10
26205,Noise,fixed,"(0.069, 26.55]",7,8
26206,Noise,no_violation,"(26.55, 63.33]",6,7
26207,Noise,no_violation,"(0.069, 26.55]",3,4
26208,Noise,fixed,"(0.069, 26.55]",7,8
26209,Noise,no_violation,"(26.55, 63.33]",6,7
26210,Noise,fixed,"(63.33, 2677.65]",4,5
26211,Noise,no_violation,"(63.33, 2677.65]",9,10
26213,Noise,info_needed,"(0.069, 26.55]",3,4
26214,Noise,no_violation,"(63.33, 2677.65]",9,10
26215,Traffic,no_violation,"(26.55, 63.33]",1,2
26216,Noise,no_violation,"(63.33, 2677.65]",9,10
26217,Noise,no_violation,"(63.33, 2677.65]",9,10
26218,Noise,fixed,"(63.33, 2677.65]",4,5
26219,Noise,fixed,"(0.069, 26.55]",7,8
26220,Noise,fixed,"(26.55, 63.33]",4,5
26221,Noise,fixed,"(63.33, 2677.65]",4,5
26222,Noise,fixed,"(63.33, 2677.65]",4,5
26223,Noise,no_violation,"(26.55, 63.33]",6,7
26224,Noise,fixed,"(63.33, 2677.65]",4,5
26225,Noise,fixed,"(26.55, 63.33]",4,5
26226,Noise,no_violation,"(26.55, 63.33]",6,7
26227,Noise,fixed,"(0.069, 26.55]",7,8
26228,Noise,fixed,"(0.069, 26.55]",7,8
26229,Noise,fixed,"(0.069, 26.55]",7,8
26230,Noise,fixed,"(63.33, 2677.65]",4,5
26231,Noise,no_violation,"(63.33, 2677.65]",9,10
26232,Noise,no_violation,"(63.33, 2677.65]",9,10
26233,Noise,no_violation,"(26.55, 63.33]",6,7
26234,Noise,no_violation,"(26.55, 63.33]",6,7
26235,Noise,no_violation,"(63.33, 2677.65]",9,10
26236,Noise,no_violation,"(63.33, 2677.65]",9,10
26237,Noise,no_violation,"(0.069, 26.55]",3,4
26238,Noise,fixed,"(0.069, 26.55]",7,8
26239,Noise,no_violation,"(63.33, 2677.65]",9,10
26240,Noise,fixed,"(0.069, 26.55]",7,8
26241,Noise,no_violation,"(26.55, 63.33]",6,7
26242,Noise,no_violation,"(26.55, 63.33]",6,7
26243,Noise,no_violation,"(63.33, 2677.65]",9,10
26244,Noise,no_violation,"(26.55, 63.33]",6,7
26245,Safety,no_violation,"(63.33, 2677.65]",9,10
26246,Safety,no_violation,"(63.33, 2677.65]",9,10
26248,Noise,no_violation,"(26.55, 63.33]",6,7
26249,Noise,no_violation,"(26.55, 63.33]",6,7
26250,Noise,no_violation,"(63.33, 2677.65]",9,10
26251,Noise,fixed,"(0.069, 26.55]",7,8
26252,Noise,fixed,"(63.33, 2677.65]",4,5
26253,Noise,no_violation,"(0.069, 26.55]",3,4
26254,Noise,no_violation,"(0.069, 26.55]",3,4
26255,Noise,no_violation,"(0.069, 26.55]",3,4
26256,Noise,no_violation,"(0.069, 26.55]",3,4
26257,Noise,no_violation,"(26.55, 63.33]",6,7
26258,Noise,no_violation,"(26.55, 63.33]",6,7
26259,Noise,no_violation,"(63.33, 2677.65]",9,10
26260,Noise,no_violation,"(63.33, 2677.65]",9,10
26261,Noise,no_violation,"(63.33, 2677.65]",9,10
26262,Noise,no_violation,"(63.33, 2677.65]",9,10
26263,Noise,info_needed,"(63.33, 2677.65]",9,10
26264,Traffic,info_needed,"(63.33, 2677.65]",8,9
26265,Traffic,no_violation,"(26.55, 63.33]",1,2
26266,Other,no_violation,"(26.55, 63.33]",1,2
26267,Noise,no_violation,"(26.55, 63.33]",6,7
26269,Noise,fixed,"(63.33, 2677.65]",4,5
26270,Noise,fixed,"(63.33, 2677.65]",4,5
26271,Personal Issue,fixed,"(0.069, 26.55]",7,8
26272,Traffic,no_violation,"(0.069, 26.55]",1,2
26273,Traffic,fixed,"(26.55, 63.33]",0,1
26274,Noise,no_violation,"(63.33, 2677.65]",9,10
26275,Noise,no_violation,"(63.33, 2677.65]",9,10
26276,Noise,no_violation,"(63.33, 2677.65]",9,10
26277,Noise,no_violation,"(63.33, 2677.65]",9,10
26278,Noise,no_violation,"(63.33, 2677.65]",9,10
26279,Traffic,info_needed,"(26.55, 63.33]",1,2
26280,House,no_violation,"(2677.65, 59476.62]",2,3
26281,House,no_violation,"(2677.65, 59476.62]",2,3
26282,Trash/Pollution,fixed,"(0.069, 26.55]",7,8
26283,Other,no_violation,"(0.069, 26.55]",3,4
26284,Energy,no_violation,"(2677.65, 59476.62]",2,3
26285,Traffic,fixed,"(2677.65, 59476.62]",5,6
26286,House,no_violation,"(63.33, 2677.65]",2,3
26287,Safety,fixed,"(63.33, 2677.65]",0,1
26288,Energy,no_violation,"(63.33, 2677.65]",9,10
26289,House,no_violation,"(63.33, 2677.65]",2,3
26290,Trash/Pollution,no_violation,"(63.33, 2677.65]",9,10
26291,House,fixed,"(2677.65, 59476.62]",2,3
26292,House,fixed,"(2677.65, 59476.62]",2,3
26293,House,no_violation,"(2677.65, 59476.62]",2,3
26294,Traffic,fixed,"(26.55, 63.33]",0,1
26295,Safety,fixed,"(2677.65, 59476.62]",0,1
26296,Trash/Pollution,no_violation,"(2677.65, 59476.62]",2,3
26297,Safety,fixed,"(2677.65, 59476.62]",0,1
26298,Trash/Pollution,no_violation,"(2677.65, 59476.62]",2,3
26299,Safety,no_violation,"(2677.65, 59476.62]",2,3
26300,House,no_violation,"(2677.65, 59476.62]",2,3
26301,Animals,fixed,"(2677.65, 59476.62]",5,6
26302,Safety,fixed,"(2677.65, 59476.62]",0,1
26303,House,fixed,"(2677.65, 59476.62]",2,3
26304,House,fixed,"(2677.65, 59476.62]",2,3
26305,Trash/Pollution,no_violation,"(2677.65, 59476.62]",2,3
26306,Trash/Pollution,no_violation,"(2677.65, 59476.62]",2,3
26307,House,fixed,"(2677.65, 59476.62]",2,3
26308,Safety,fixed,"(2677.65, 59476.62]",0,1
26309,House,fixed,"(2677.65, 59476.62]",2,3
26310,House,duplicated_report,"(2677.65, 59476.62]",2,3
26311,House,duplicated_report,"(2677.65, 59476.62]",2,3
26312,Animals,duplicated_report,"(2677.65, 59476.62]",5,6
26313,House,fixed,"(2677.65, 59476.62]",2,3
26314,House,no_violation,"(2677.65, 59476.62]",2,3
26315,House,no_violation,"(2677.65, 59476.62]",2,3
26316,House,no_violation,"(2677.65, 59476.62]",2,3
26317,House,duplicated_report,"(2677.65, 59476.62]",2,3
26318,House,no_violation,"(2677.65, 59476.62]",2,3
26319,House,duplicated_report,"(2677.65, 59476.62]",2,3
26320,House,duplicated_report,"(2677.65, 59476.62]",2,3
26322,Traffic,fixed,"(26.55, 63.33]",0,1
26325,Noise,fixed,"(63.33, 2677.65]",4,5
26326,Noise,fixed,"(26.55, 63.33]",4,5
26327,Noise,fixed,"(63.33, 2677.65]",4,5
26328,Traffic,fixed,"(63.33, 2677.65]",8,9
26329,Traffic,fixed,"(63.33, 2677.65]",8,9
26330,Animals,no_violation,"(2677.65, 59476.62]",2,3
26332,Safety,fixed,"(0.069, 26.55]",0,1
26333,Energy,no_violation,"(2677.65, 59476.62]",2,3
26334,House,no_violation,"(2677.65, 59476.62]",2,3
26335,Energy,no_violation,"(2677.65, 59476.62]",2,3
26336,Safety,no_violation,"(2677.65, 59476.62]",2,3
26337,House,no_violation,"(2677.65, 59476.62]",2,3
26338,House,no_violation,"(2677.65, 59476.62]",2,3
26339,Noise,no_violation,"(63.33, 2677.65]",9,10
26341,Noise,no_violation,"(26.55, 63.33]",6,7
26342,House,fixed,"(2677.65, 59476.62]",2,3
26343,House,no_violation,"(2677.65, 59476.62]",2,3
26344,House,no_violation,"(2677.65, 59476.62]",2,3
26345,House,fixed,"(2677.65, 59476.62]",2,3
26346,House,no_violation,"(2677.65, 59476.62]",2,3
26347,House,fixed,"(2677.65, 59476.62]",2,3
26348,House,fixed,"(2677.65, 59476.62]",2,3
26349,House,no_violation,"(2677.65, 59476.62]",2,3
26350,Animals,fixed,"(2677.65, 59476.62]",5,6
26351,House,no_violation,"(2677.65, 59476.62]",2,3
26352,House,no_violation,"(2677.65, 59476.62]",2,3
26353,Safety,no_violation,"(2677.65, 59476.62]",2,3
26354,Safety,no_violation,"(2677.65, 59476.62]",2,3
26355,House,fixed,"(2677.65, 59476.62]",2,3
26356,House,no_violation,"(2677.65, 59476.62]",2,3
26357,Energy,no_violation,"(2677.65, 59476.62]",2,3
26358,House,duplicated_report,"(2677.65, 59476.62]",2,3
26359,House,no_violation,"(2677.65, 59476.62]",2,3
26360,Traffic,no_violation,"(0.069, 26.55]",1,2
26362,Traffic,fixed,"(63.33, 2677.65]",8,9
26363,Trash/Pollution,fixed,"(2677.65, 59476.62]",5,6
26364,Energy,fixed,"(2677.65, 59476.62]",5,6
26365,Traffic,no_violation,"(26.55, 63.33]",1,2
26366,Animals,fixed,"(2677.65, 59476.62]",5,6
26367,Noise,no_violation,"(26.55, 63.33]",6,7
26368,Noise,fixed,"(63.33, 2677.65]",4,5
26369,Noise,fixed,"(26.55, 63.33]",4,5
26371,House,fixed,"(26.55, 63.33]",0,1
26372,Noise,fixed,"(26.55, 63.33]",4,5
26373,House,fixed,"(26.55, 63.33]",0,1
26375,Traffic,no_violation,"(26.55, 63.33]",1,2
26376,Noise,no_violation,"(0.069, 26.55]",3,4
26377,Traffic,fixed,"(0.069, 26.55]",7,8
26380,Traffic,fixed,"(26.55, 63.33]",0,1
26381,Traffic,no_violation,"(26.55, 63.33]",1,2
26382,Safety,no_violation,"(0.069, 26.55]",3,4
26383,Noise,no_violation,"(26.55, 63.33]",6,7
26384,Animals,no_violation,"(2677.65, 59476.62]",2,3
26385,Safety,no_violation,"(2677.65, 59476.62]",2,3
26386,Safety,no_violation,"(2677.65, 59476.62]",2,3
26387,Other,no_violation,"(2677.65, 59476.62]",2,3
26388,Trash/Pollution,no_violation,"(2677.65, 59476.62]",2,3
26389,Energy,no_violation,"(2677.65, 59476.62]",2,3
26390,House,no_violation,"(2677.65, 59476.62]",2,3
